piece_id,file_id,sequence_index,notes,finger_accuracy,mean_pitch_interval,mean_chord_size,notes_per_second,start_onset,end_onset,error_rate
006,006-1,1,64,0.28125,14.0,1.15625,6.761266236729145,12.4992,23.2596,0.71875
041,041-1,4,64,0.296875,15.484375,1.875,9.878589491006133,25.6951,31.6273,0.703125
058,058-1,0,64,0.296875,8.859375,1.6875,5.973490278930556,0.0,15.1807,0.703125
006,006-8,1,64,0.3125,14.0,1.15625,6.761266236729145,12.4992,23.2596,0.6875
030,030-3,4,64,0.328125,18.609375,2.265625,12.514242984063989,20.8258,26.0979,0.671875
030,030-6,4,64,0.328125,18.609375,2.265625,12.514242984063989,20.8258,26.0979,0.671875
138,138-1,0,64,0.328125,5.265625,1.9375,12.086020985547483,0.499999,5.99999,0.671875
003,003-1,0,64,0.34375,4.734375,1.3125,9.19977020438933,0.00598087,8.28171,0.65625
030,030-5,4,64,0.359375,18.609375,2.265625,12.514242984063989,20.8258,26.0979,0.640625
011,011-7,1,64,0.375,7.359375,1.875,8.304198125447195,11.505,20.8785,0.625
003,003-1,4,64,0.390625,8.171875,1.65625,9.19977020438933,28.3421,35.2291,0.609375
003,003-5,0,64,0.390625,4.734375,1.3125,9.19977020438933,0.00598087,8.28171,0.609375
003,003-8,4,64,0.390625,8.171875,1.65625,9.19977020438933,28.3421,35.2291,0.609375
006,006-5,2,64,0.390625,15.140625,1.125,6.761266236729145,23.3705,34.246,0.609375
011,011-5,1,64,0.390625,7.359375,1.875,8.304198125447195,11.505,20.8785,0.609375
035,035-1,1,64,0.390625,14.1875,1.453125,6.866311030643377,9.83307,18.0035,0.609375
097,097-1,0,64,0.390625,9.578125,4.0625,16.09723726872779,0.00465117,4.29071,0.609375
003,003-1,2,64,0.40625,10.796875,1.625,9.19977020438933,15.4833,22.2255,0.59375
003,003-5,5,64,0.40625,6.953125,1.71875,9.19977020438933,35.3774,42.4307,0.59375
006,006-1,2,64,0.40625,15.140625,1.125,6.761266236729145,23.3705,34.246,0.59375
